Tm,Year,G,W-L%,Points for,Points Against,Point Diff,Pen,Pen. Yds,Pen. Opp,Pen. OppYds,Tot yds,Opp Turnovers 
TEN,2019,16,0.563,402,331,71,99,932,125,1025,5752,23
PHI,2016,16,0.438,367,331,36,113,945,99,837,5484,26
CLE,2010,16,0.313,271,332,-61,78,675,85,741,5601,28
DAL,2017,16,0.563,354,332,22,97,939,107,880,5089,21
SEA,2017,16,0.563,366,332,34,148,1342,102,878,5171,25
MIA,2010,16,0.438,273,333,-60,72,606,85,730,4949,19
MIA,2013,16,0.5,317,335,-18,70,598,95,748,5750,24
IND,2013,16,0.688,391,336,55,66,576,112,990,5713,26
GNB,2012,16,0.688,433,336,97,103,923,123,1055,5388,23
CLE,2014,16,0.438,299,337,-38,116,932,98,769,5857,29
KAN,2011,16,0.438,212,338,-126,110,916,108,834,5333,26
NWE,2013,16,0.75,444,338,106,69,625,110,951,5969,29
KAN,2017,16,0.625,415,339,76,118,1044,107,864,5842,26
NOR,2011,16,0.813,547,339,208,99,851,109,912,5895,16
TEN,2010,16,0.375,356,339,17,128,1040,114,1039,5883,25
SFO,2014,16,0.5,306,340,-34,116,937,122,909,5143,29
CHI,2011,16,0.5,353,341,12,104,800,98,720,5607,31
MIN,2018,16,0.531,360,341,19,92,779,106,834,4955,20
NOR,2019,16,0.813,458,341,117,120,1036,92,713,5329,23
NWE,2011,16,0.813,513,342,171,87,815,115,907,6577,34
MIN,2014,16,0.438,325,343,-18,100,836,112,938,5515,19
CIN,2014,16,0.656,365,344,21,102,812,105,876,5749,26
IND,2018,16,0.625,433,344,89,120,953,131,1115,5435,26
NYG,2012,16,0.563,429,344,85,72,578,102,900,6134,35
BAL,2012,16,0.625,398,344,54,121,1127,107,929,5615,25
ATL,2015,16,0.5,339,345,-6,100,969,95,728,5562,23
LAC,2019,16,0.313,337,345,-8,103,872,108,959,5009,14
SFO,2010,16,0.375,305,346,-41,112,934,97,839,5244,22
DAL,2011,16,0.5,369,347,22,114,816,85,650,5491,25
NYG,2010,16,0.625,394,347,47,92,777,107,899,4972,39
SEA,2018,16,0.625,428,347,81,111,959,108,981,5653,26
ARI,2011,16,0.5,312,348,-36,106,1004,122,950,5682,19
GNB,2014,16,0.75,486,348,138,92,775,104,945,5542,27
MIN,2010,16,0.375,281,348,-67,99,769,98,786,5002,26
MIN,2012,16,0.625,379,348,31,90,830,111,949,5600,22
PHI,2018,16,0.563,367,348,19,100,852,115,995,5859,17
STL,2012,16,0.469,299,348,-49,130,978,90,758,5482,21
SDG,2013,16,0.563,396,348,48,95,765,100,850,5875,17
SDG,2014,16,0.563,348,348,0,111,967,129,1067,5413,18
CIN,2017,16,0.438,290,349,-59,110,1027,106,906,5425,14
DEN,2018,16,0.375,329,349,-20,125,985,123,1006,5842,28
ATL,2011,16,0.625,402,350,52,93,769,101,843,5338,29
SDG,2012,16,0.438,350,350,0,103,796,102,798,5223,28
DAL,2014,16,0.75,467,352,115,105,839,104,861,5681,31
BAL,2013,16,0.5,320,352,-32,112,942,126,1196,5368,24
NOR,2018,16,0.813,504,353,151,94,939,85,814,5585,24
DEN,2014,16,0.75,482,354,128,120,1045,103,816,4883,25
PHI,2019,16,0.563,385,354,31,100,836,115,959,5307,20
STL,2014,16,0.375,324,354,-30,123,1139,105,882,5626,25
TEN,2017,16,0.563,334,356,-22,85,785,119,942,5248,21
ARI,2012,16,0.313,250,357,-107,102,857,100,810,5405,33
DET,2016,16,0.563,346,358,-12,100,861,122,979,5676,14
BUF,2015,16,0.5,379,359,20,143,1249,113,906,5702,25
BUF,2017,16,0.563,302,359,-57,98,872,97,873,5682,25
GNB,2011,16,0.938,560,359,201,76,591,122,948,6585,38
NYJ,2019,16,0.438,276,359,-83,115,1105,107,902,5170,21
WAS,2018,16,0.438,281,359,-78,115,1008,102,791,5654,26
DET,2018,16,0.375,324,360,-36,94,852,94,886,5360,14
PIT,2018,16,0.594,428,360,68,111,1026,136,1170,5235,15
ARI,2017,16,0.5,295,361,-66,110,880,129,1128,4973,21
ARI,2016,16,0.469,418,362,56,104,889,123,1010,4883,28
CAR,2012,16,0.438,357,363,-6,98,835,86,711,5329,23
NYJ,2011,16,0.5,377,363,14,102,849,110,966,4993,31
STL,2013,16,0.438,348,364,-16,123,1009,105,978,5520,29
LAR,2019,16,0.563,394,364,30,118,899,105,829,5434,24
WAS,2011,16,0.313,288,367,-79,91,897,123,1006,5437,21
CLE,2012,16,0.313,302,368,-66,113,1005,120,1008,5821,29
PIT,2014,16,0.688,436,368,68,103,834,97,835,5654,21
IND,2014,16,0.688,458,369,89,105,848,101,866,5483,26
DET,2010,16,0.375,362,369,-7,136,1018,105,854,5497,29
TAM,2016,16,0.563,354,369,-15,109,926,121,1061,5887,29
PIT,2013,16,0.5,379,370,9,80,677,92,800,5395,20
OAK,2010,16,0.5,410,371,39,148,1279,117,1161,5165,24
IND,2019,16,0.438,361,373,-12,79,670,111,1040,5549,23
MIA,2014,16,0.5,388,373,15,81,635,105,920,5494,25
OAK,2017,16,0.375,301,373,-72,114,1009,102,944,5601,14
BUF,2018,16,0.375,269,374,-105,116,992,99,976,4706,27
CAR,2014,16,0.469,339,374,-35,83,756,97,760,5437,26
DAL,2015,16,0.25,275,374,-99,112,882,113,900,5569,11
NYJ,2012,16,0.375,281,375,-94,83,708,109,805,5174,23
DET,2013,16,0.438,395,376,19,110,925,87,681,5546,22
DET,2017,16,0.563,410,376,34,104,968,110,971,5692,32
PHI,2010,16,0.625,439,377,62,129,1101,87,724,5235,34
SDG,2011,16,0.5,406,377,29,91,753,92,760,5546,21
WAS,2010,16,0.375,302,377,-75,90,647,104,839,6228,27
BUF,2016,16,0.438,399,378,21,112,960,106,884,5712,18
TEN,2016,16,0.563,381,378,3,110,1012,137,1191,5720,18
WAS,2015,16,0.563,388,379,9,105,828,112,955,6090,27
MIA,2016,16,0.625,363,380,-17,125,1142,109,919,6122,25
TEN,2013,16,0.438,362,381,-19,101,900,95,779,5407,25
CAR,2018,16,0.438,376,382,-6,92,818,91,805,5651,23
DEN,2017,16,0.313,289,382,-93,113,885,89,821,4640,17
NYJ,2017,16,0.313,298,382,-84,119,1035,114,981,5636,20
PHI,2013,16,0.625,442,382,60,95,846,106,855,6304,31
TAM,2017,16,0.313,335,382,-47,104,795,109,937,6049,26
NYG,2013,16,0.438,294,383,-89,91,786,105,904,5316,29
SFO,2017,16,0.375,331,383,-52,123,988,97,791,5625,20
WAS,2016,16,0.531,396,383,13,110,909,100,1023,6046,21
GNB,2017,16,0.438,320,384,-64,96,789,94,832,5582,22
LAR,2018,16,0.813,527,384,143,96,878,99,852,5737,30
HOU,2019,16,0.625,378,385,-7,111,892,109,859,6213,22
OAK,2016,16,0.75,416,385,31,147,1247,115,1062,6001,30
IND,2012,16,0.688,357,387,-30,94,801,128,1208,5988,15
DET,2011,16,0.625,474,387,87,128,1075,119,982,5881,34
NYJ,2013,16,0.5,290,387,-97,108,837,92,833,5359,15
SFO,2015,16,0.313,238,387,-149,113,823,112,920,6199,12
BUF,2013,16,0.375,339,388,-49,110,954,108,931,5334,30
IND,2010,16,0.625,435,388,47,79,709,95,812,5465,21
GNB,2016,16,0.625,432,388,44,100,827,109,964,5823,25
NYG,2017,16,0.188,246,388,-142,91,895,115,923,5971,19
WAS,2012,16,0.625,436,388,48,116,985,100,811,6043,31
WAS,2017,16,0.438,342,388,-46,92,733,100,887,5566,23
MIA,2015,16,0.375,310,389,-79,134,1090,121,1005,6019,16
TAM,2013,16,0.25,288,389,-101,121,1136,105,1012,5568,31
DEN,2011,16,0.5,309,390,-81,101,843,99,845,5725,18
CLE,2018,16,0.469,359,392,-33,112,894,119,990,6288,31
